l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
1,2,1,add,gatconv,199,0.3277,0.0034,3460.0,1.537,0.0526,0.8422,0.0016,0.7609,0.004,0.7524,0.0004,0.7566,0.0018,0.9234,0.0017
1,2,1,add,gcnconv,199,0.325,0.0061,3332.0,1.193,0.1542,0.8416,0.002,0.7528,0.0032,0.7655,0.0025,0.7591,0.0029,0.9244,0.0031
1,2,1,add,sageconv,199,0.2845,0.0004,5380.0,1.3222,0.3122,0.8696,0.001,0.8008,0.0001,0.7987,0.0045,0.7997,0.0022,0.9454,0.0005
1,2,1,max,gatconv,199,0.3277,0.0034,3460.0,1.4606,0.0394,0.8422,0.0016,0.7609,0.004,0.7524,0.0004,0.7566,0.0018,0.9234,0.0017
1,2,1,max,gcnconv,199,0.325,0.0061,3332.0,1.1384,0.1347,0.8416,0.002,0.7528,0.0032,0.7655,0.0025,0.7591,0.0029,0.9244,0.0031
1,2,1,max,sageconv,199,0.2845,0.0004,5380.0,1.148,0.0932,0.8696,0.001,0.8008,0.0001,0.7987,0.0045,0.7997,0.0022,0.9454,0.0005
1,2,1,mean,gatconv,199,0.3277,0.0034,3460.0,1.4313,0.0459,0.8422,0.0016,0.7609,0.004,0.7524,0.0004,0.7566,0.0018,0.9234,0.0017
1,2,1,mean,gcnconv,199,0.325,0.0061,3332.0,1.0628,0.1786,0.8416,0.002,0.7528,0.0032,0.7655,0.0025,0.7591,0.0029,0.9244,0.0031
1,2,1,mean,sageconv,199,0.2845,0.0004,5380.0,1.0756,0.1348,0.8696,0.001,0.8008,0.0001,0.7987,0.0045,0.7997,0.0022,0.9454,0.0005
1,2,2,add,gatconv,199,0.3286,0.0034,4516.0,1.697,0.0375,0.8453,0.0004,0.7673,0.0011,0.7544,0.0039,0.7608,0.0015,0.9256,0.0018
1,2,2,add,gcnconv,199,0.3289,0.0067,4388.0,1.1096,0.0001,0.8442,0.0038,0.765,0.001,0.7532,0.019,0.759,0.0091,0.9258,0.0035
1,2,2,add,sageconv,199,0.2932,0.0015,6436.0,1.0982,0.0329,0.8694,0.001,0.8122,0.0026,0.7797,0.0003,0.7956,0.0014,0.9448,0.001
1,2,2,max,gatconv,199,0.3286,0.0034,4516.0,1.5894,0.0302,0.8453,0.0004,0.7673,0.0011,0.7544,0.0039,0.7608,0.0015,0.9256,0.0018
1,2,2,max,gcnconv,199,0.3289,0.0067,4388.0,1.2113,0.0781,0.8442,0.0038,0.765,0.001,0.7532,0.019,0.759,0.0091,0.9258,0.0035
1,2,2,max,sageconv,199,0.2932,0.0015,6436.0,1.0949,0.056,0.8694,0.001,0.8122,0.0026,0.7797,0.0003,0.7956,0.0014,0.9448,0.001
1,2,2,mean,gatconv,199,0.3286,0.0034,4516.0,1.639,0.1559,0.8453,0.0004,0.7673,0.0011,0.7544,0.0039,0.7608,0.0015,0.9256,0.0018
1,2,2,mean,gcnconv,199,0.3289,0.0067,4388.0,1.1232,0.0083,0.8442,0.0038,0.765,0.001,0.7532,0.019,0.759,0.0091,0.9258,0.0035
