l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
1,2,1,add,gatconv,187,0.3282,0.0046,3460.0,1.8417,0.2182,0.8404,0.0027,0.7583,0.0045,0.7496,0.0036,0.7539,0.004,0.923,0.0022
1,2,1,add,gcnconv,172,0.3268,0.006,3332.0,1.1528,0.0278,0.8416,0.0045,0.7548,0.0105,0.7616,0.0007,0.7582,0.005,0.924,0.0032
1,2,1,add,sageconv,161,0.2852,0.0011,5380.0,1.0172,0.0429,0.8706,0.0003,0.8024,0.0023,0.8005,0.0049,0.8014,0.0013,0.9452,0.0004
1,2,1,max,gatconv,187,0.3282,0.0046,3460.0,1.5072,0.0579,0.8404,0.0027,0.7583,0.0045,0.7496,0.0036,0.7539,0.004,0.923,0.0022
1,2,1,max,gcnconv,172,0.3268,0.006,3332.0,1.2098,0.0563,0.8416,0.0045,0.7548,0.0105,0.7616,0.0007,0.7582,0.005,0.924,0.0032
1,2,1,max,sageconv,161,0.2852,0.0011,5380.0,1.0642,0.0973,0.8706,0.0003,0.8024,0.0023,0.8005,0.0049,0.8014,0.0013,0.9452,0.0004
1,2,1,mean,gatconv,187,0.3282,0.0046,3460.0,1.4708,0.0714,0.8404,0.0027,0.7583,0.0045,0.7496,0.0036,0.7539,0.004,0.923,0.0022
1,2,1,mean,gcnconv,172,0.3268,0.006,3332.0,1.1396,0.1607,0.8416,0.0045,0.7548,0.0105,0.7616,0.0007,0.7582,0.005,0.924,0.0032
1,2,1,mean,sageconv,161,0.2852,0.0011,5380.0,1.0146,0.0418,0.8706,0.0003,0.8024,0.0023,0.8005,0.0049,0.8014,0.0013,0.9452,0.0004
1,2,2,add,gatconv,196,0.3292,0.003,4516.0,1.6545,0.0243,0.8456,0.0027,0.7692,0.0058,0.7525,0.0013,0.7607,0.0034,0.9252,0.002
1,2,2,add,gcnconv,184,0.3303,0.0063,4388.0,1.1793,0.0652,0.8424,0.0035,0.7626,0.0007,0.7501,0.0173,0.7562,0.0084,0.925,0.0028
1,2,2,add,sageconv,190,0.2925,0.0003,6436.0,1.043,0.0708,0.8712,0.0014,0.8127,0.0004,0.7859,0.0047,0.7991,0.0026,0.9451,0.0003
1,2,2,max,gatconv,196,0.3292,0.003,4516.0,1.6891,0.0212,0.8456,0.0027,0.7692,0.0058,0.7525,0.0013,0.7607,0.0034,0.9252,0.002
1,2,2,max,gcnconv,184,0.3303,0.0063,4388.0,1.1669,0.0759,0.8424,0.0035,0.7626,0.0007,0.7501,0.0173,0.7562,0.0084,0.925,0.0028
1,2,2,max,sageconv,190,0.2925,0.0003,6436.0,1.1812,0.0574,0.8712,0.0014,0.8127,0.0004,0.7859,0.0047,0.7991,0.0026,0.9451,0.0003
1,2,2,mean,gatconv,196,0.3292,0.003,4516.0,1.7788,0.1491,0.8456,0.0027,0.7692,0.0058,0.7525,0.0013,0.7607,0.0034,0.9252,0.002
1,2,2,mean,gcnconv,184,0.3303,0.0063,4388.0,1.206,0.0927,0.8424,0.0035,0.7626,0.0007,0.7501,0.0173,0.7562,0.0084,0.925,0.0028
1,2,2,mean,sageconv,190,0.2925,0.0003,6436.0,1.1582,0.0312,0.8712,0.0014,0.8127,0.0004,0.7859,0.0047,0.7991,0.0026,0.9451,0.0003
1,3,1,add,gatconv,183,0.3361,0.0016,4613.0,2.3026,0.1783,0.8362,0.0022,0.7517,0.001,0.7432,0.0078,0.7474,0.0045,0.9177,0.0011
1,3,1,add,gcnconv,186,0.3386,0.0016,4421.0,1.4815,0.0202,0.8308,0.0015,0.7376,0.0009,0.7466,0.0091,0.742,0.004,0.9156,0.0012
1,3,1,add,sageconv,191,0.2892,0.0031,7493.0,1.3594,0.0252,0.8659,0.0028,0.8056,0.006,0.7759,0.0017,0.7905,0.0038,0.9426,0.0015
1,3,1,max,gatconv,183,0.3361,0.0016,4613.0,2.1958,0.066,0.8362,0.0022,0.7517,0.001,0.7432,0.0078,0.7474,0.0045,0.9177,0.0011
1,3,1,max,gcnconv,186,0.3386,0.0016,4421.0,1.553,0.1125,0.8308,0.0015,0.7376,0.0009,0.7466,0.0091,0.742,0.004,0.9156,0.0012
1,3,1,max,sageconv,191,0.2892,0.0031,7493.0,1.5041,0.1687,0.8659,0.0028,0.8056,0.006,0.7759,0.0017,0.7905,0.0038,0.9426,0.0015
1,3,1,mean,gatconv,183,0.3361,0.0016,4613.0,2.1359,0.0649,0.8362,0.0022,0.7517,0.001,0.7432,0.0078,0.7474,0.0045,0.9177,0.0011
1,3,1,mean,gcnconv,186,0.3386,0.0016,4421.0,1.5848,0.0907,0.8308,0.0015,0.7376,0.0009,0.7466,0.0091,0.742,0.004,0.9156,0.0012
1,3,1,mean,sageconv,191,0.2892,0.0031,7493.0,1.3692,0.004,0.8659,0.0028,0.8056,0.006,0.7759,0.0017,0.7905,0.0038,0.9426,0.0015
1,3,2,add,gatconv,154,0.3569,0.0143,5669.0,2.2207,0.1668,0.8274,0.0109,0.7334,0.0256,0.7418,0.0032,0.7373,0.0113,0.9088,0.0079
1,3,2,add,gcnconv,175,0.3506,0.0018,5477.0,1.5214,0.025,0.8338,0.0012,0.7412,0.005,0.7533,0.0046,0.7471,0.0003,0.9134,0.0007
1,3,2,add,sageconv,183,0.2979,0.0006,8549.0,1.4588,0.0245,0.8678,0.0039,0.8098,0.0054,0.777,0.0072,0.793,0.0064,0.9424,0.0003
1,3,2,max,gatconv,154,0.3569,0.0143,5669.0,2.1449,0.0695,0.8274,0.0109,0.7334,0.0256,0.7418,0.0032,0.7373,0.0113,0.9088,0.0079
1,3,2,max,gcnconv,175,0.3506,0.0018,5477.0,1.476,0.0763,0.8338,0.0012,0.7412,0.005,0.7533,0.0046,0.7471,0.0003,0.9134,0.0007
1,3,2,max,sageconv,183,0.2979,0.0006,8549.0,1.5398,0.0168,0.8678,0.0039,0.8098,0.0054,0.777,0.0072,0.793,0.0064,0.9424,0.0003
1,3,2,mean,gatconv,154,0.3569,0.0143,5669.0,2.3637,0.029,0.8274,0.0109,0.7334,0.0256,0.7418,0.0032,0.7373,0.0113,0.9088,0.0079
1,3,2,mean,gcnconv,175,0.3506,0.0018,5477.0,1.5074,0.0096,0.8338,0.0012,0.7412,0.005,0.7533,0.0046,0.7471,0.0003,0.9134,0.0007
1,3,2,mean,sageconv,183,0.2979,0.0006,8549.0,1.6066,0.1203,0.8678,0.0039,0.8098,0.0054,0.777,0.0072,0.793,0.0064,0.9424,0.0003
2,2,1,add,gatconv,183,0.322,0.0054,4549.0,1.7292,0.0868,0.8437,0.0038,0.7678,0.0091,0.7466,0.0,0.757,0.0045,0.9258,0.003
2,2,1,add,gcnconv,188,0.3157,0.0031,4421.0,1.3207,0.0757,0.8497,0.0036,0.765,0.0067,0.778,0.0031,0.7714,0.005,0.9298,0.0021
2,2,1,add,sageconv,175,0.2921,0.0048,6469.0,1.1829,0.1567,0.8672,0.0041,0.8066,0.0061,0.7796,0.0069,0.7929,0.0065,0.9422,0.0023
2,2,1,max,gatconv,183,0.322,0.0054,4549.0,1.7216,0.0722,0.8437,0.0038,0.7678,0.0091,0.7466,0.0,0.757,0.0045,0.9258,0.003
2,2,1,max,gcnconv,188,0.3157,0.0031,4421.0,1.2976,0.0838,0.8497,0.0036,0.765,0.0067,0.778,0.0031,0.7714,0.005,0.9298,0.0021
2,2,1,max,sageconv,175,0.2921,0.0048,6469.0,1.3052,0.0606,0.8672,0.0041,0.8066,0.0061,0.7796,0.0069,0.7929,0.0065,0.9422,0.0023
2,2,1,mean,gatconv,183,0.322,0.0054,4549.0,1.9526,0.0736,0.8437,0.0038,0.7678,0.0091,0.7466,0.0,0.757,0.0045,0.9258,0.003
2,2,1,mean,gcnconv,188,0.3157,0.0031,4421.0,1.2814,0.0332,0.8497,0.0036,0.765,0.0067,0.778,0.0031,0.7714,0.005,0.9298,0.0021
2,2,1,mean,sageconv,175,0.2921,0.0048,6469.0,1.2443,0.0849,0.8672,0.0041,0.8066,0.0061,0.7796,0.0069,0.7929,0.0065,0.9422,0.0023
2,2,2,add,gatconv,188,0.3406,0.0027,5605.0,1.9338,0.1365,0.8361,0.003,0.7588,0.0176,0.7308,0.0192,0.7441,0.0015,0.9192,0.0012
2,2,2,add,gcnconv,180,0.3345,0.0014,5477.0,1.3931,0.1192,0.8481,0.0003,0.77,0.0003,0.7617,0.002,0.7658,0.0009,0.9259,0.0004
2,2,2,add,sageconv,190,0.3043,0.0016,7525.0,1.3401,0.1376,0.867,0.0031,0.8038,0.0088,0.7836,0.0014,0.7936,0.0036,0.9406,0.0011
2,2,2,max,gatconv,188,0.3406,0.0027,5605.0,1.9,0.008,0.8361,0.003,0.7588,0.0176,0.7308,0.0192,0.7441,0.0015,0.9192,0.0012
2,2,2,max,gcnconv,180,0.3345,0.0014,5477.0,1.4969,0.2432,0.8481,0.0003,0.77,0.0003,0.7617,0.002,0.7658,0.0009,0.9259,0.0004
2,2,2,max,sageconv,190,0.3043,0.0016,7525.0,1.3868,0.019,0.867,0.0031,0.8038,0.0088,0.7836,0.0014,0.7936,0.0036,0.9406,0.0011
