l_pre,l_mp,l_post,agg,layers,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
1,2,1,add,gatconv,187,0.327,0.0034,3460.0,1.7142,0.3457,0.8419,0.0012,0.7599,0.0028,0.7532,0.0,0.7566,0.0014,0.9237,0.0015
1,2,1,add,gcnconv,183,0.325,0.0055,3332.0,1.318,0.2413,0.8422,0.0025,0.7512,0.0023,0.7717,0.0072,0.7614,0.0046,0.925,0.0025
1,2,1,add,sageconv,195,0.2824,0.0011,5380.0,1.3166,0.2768,0.8713,0.0007,0.8005,0.0008,0.8062,0.0015,0.8034,0.0012,0.9461,0.0003
1,2,1,max,gatconv,187,0.327,0.0034,3460.0,1.5192,0.0458,0.8419,0.0012,0.7599,0.0028,0.7532,0.0,0.7566,0.0014,0.9237,0.0015
1,2,1,max,gcnconv,183,0.325,0.0055,3332.0,1.3218,0.4908,0.8422,0.0025,0.7512,0.0023,0.7717,0.0072,0.7614,0.0046,0.925,0.0025
1,2,1,max,sageconv,195,0.2824,0.0011,5380.0,1.4363,0.3521,0.8713,0.0007,0.8005,0.0008,0.8062,0.0015,0.8034,0.0012,0.9461,0.0003
1,2,1,mean,gatconv,187,0.327,0.0034,3460.0,1.4695,0.0726,0.8419,0.0012,0.7599,0.0028,0.7532,0.0,0.7566,0.0014,0.9237,0.0015
1,2,1,mean,gcnconv,183,0.325,0.0055,3332.0,1.3656,0.6362,0.8422,0.0025,0.7512,0.0023,0.7717,0.0072,0.7614,0.0046,0.925,0.0025
1,2,1,mean,sageconv,195,0.2824,0.0011,5380.0,1.3072,0.2163,0.8713,0.0007,0.8005,0.0008,0.8062,0.0015,0.8034,0.0012,0.9461,0.0003
1,2,2,add,gatconv,190,0.3266,0.0023,4516.0,1.7546,0.0995,0.8466,0.0,0.7715,0.0024,0.7522,0.0046,0.7617,0.0012,0.927,0.0012
1,2,2,add,gcnconv,183,0.3294,0.0062,4388.0,1.1633,0.0436,0.8446,0.0045,0.7668,0.0017,0.752,0.0166,0.7592,0.0093,0.9258,0.0027
1,2,2,add,sageconv,188,0.2921,0.0006,6436.0,1.1931,0.0153,0.8696,0.001,0.81,0.0018,0.7842,0.0012,0.7969,0.0015,0.9453,0.0001
1,2,2,max,gatconv,190,0.3266,0.0023,4516.0,1.614,0.0199,0.8466,0.0,0.7715,0.0024,0.7522,0.0046,0.7617,0.0012,0.927,0.0012
1,2,2,max,gcnconv,183,0.3294,0.0062,4388.0,1.2502,0.0118,0.8446,0.0045,0.7668,0.0017,0.752,0.0166,0.7592,0.0093,0.9258,0.0027
1,2,2,max,sageconv,188,0.2921,0.0006,6436.0,1.034,0.0037,0.8696,0.001,0.81,0.0018,0.7842,0.0012,0.7969,0.0015,0.9453,0.0001
1,2,2,mean,gatconv,190,0.3266,0.0023,4516.0,1.685,0.158,0.8466,0.0,0.7715,0.0024,0.7522,0.0046,0.7617,0.0012,0.927,0.0012
1,2,2,mean,gcnconv,183,0.3294,0.0062,4388.0,1.1602,0.0066,0.8446,0.0045,0.7668,0.0017,0.752,0.0166,0.7592,0.0093,0.9258,0.0027
1,2,2,mean,sageconv,188,0.2921,0.0006,6436.0,1.1631,0.0411,0.8696,0.001,0.81,0.0018,0.7842,0.0012,0.7969,0.0015,0.9453,0.0001
1,3,1,add,gatconv,189,0.3338,0.0022,4613.0,2.173,0.1167,0.8367,0.003,0.7515,0.0032,0.7458,0.0073,0.7487,0.0053,0.9196,0.0014
1,3,1,add,gcnconv,180,0.3358,0.0003,4421.0,1.4728,0.079,0.8326,0.0004,0.741,0.0025,0.7481,0.0035,0.7446,0.0005,0.9174,0.0002
1,3,1,add,sageconv,189,0.2852,0.0037,7493.0,1.378,0.0199,0.8686,0.0024,0.8069,0.0073,0.7852,0.002,0.7958,0.0025,0.9448,0.0015
1,3,1,max,gatconv,189,0.3338,0.0022,4613.0,2.214,0.0957,0.8367,0.003,0.7515,0.0032,0.7458,0.0073,0.7487,0.0053,0.9196,0.0014
