stage,skip,self,final_linear,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
skipconcat,0,add,False,199,0.235,0.0014,56070.0,5.277,0.0853,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,0,add,True,199,0.235,0.0014,56070.0,4.9879,0.156,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,0,concat,False,199,0.235,0.0014,56070.0,5.1789,0.2997,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,0,concat,True,199,0.235,0.0014,56070.0,4.9749,0.3602,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,0,none,False,199,0.235,0.0014,56070.0,4.9166,0.5858,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,0,none,True,199,0.235,0.0014,56070.0,4.961,0.4406,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,1,add,False,199,0.235,0.0014,56070.0,5.016,0.5261,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,1,add,True,199,0.235,0.0014,56070.0,4.2344,0.9583,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,1,concat,False,199,0.235,0.0014,56070.0,4.5588,1.0535,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,1,concat,True,199,0.235,0.0014,56070.0,4.4827,1.123,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,1,none,False,199,0.235,0.0014,56070.0,5.0505,0.118,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,1,none,True,199,0.235,0.0014,56070.0,5.0371,0.0486,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,2,add,False,199,0.235,0.0014,56070.0,4.9878,0.0589,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,2,add,True,199,0.235,0.0014,56070.0,4.4922,0.7667,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,2,concat,False,199,0.235,0.0014,56070.0,4.7088,0.5485,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,2,concat,True,199,0.235,0.0014,56070.0,4.6188,0.5214,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,2,none,False,199,0.235,0.0014,56070.0,4.6366,0.5991,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipconcat,2,none,True,199,0.235,0.0014,56070.0,4.0656,1.0984,0.8938,0.0003,0.8409,0.0008,0.8318,0.0001,0.8364,0.0004,0.9628,0.0006
skipsum,0,add,False,199,0.2486,0.0033,31494.0,0.5824,0.0251,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,0,add,True,199,0.2486,0.0033,31494.0,4.754,0.1637,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,0,concat,False,199,0.2486,0.0033,31494.0,3.7634,0.0323,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,0,concat,True,199,0.2486,0.0033,31494.0,3.7806,0.0992,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
skipsum,0,none,False,199,0.2486,0.0033,31494.0,3.6889,0.04,0.8893,0.0015,0.8376,0.001,0.8191,0.0039,0.8282,0.0025,0.9584,0.0009
