stage,skip,self,final_linear,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
skipconcat,0,add,False,194,0.2352,0.0004,56070.0,5.4118,0.0141,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,0,add,True,194,0.2352,0.0004,56070.0,5.3121,0.0664,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,0,concat,False,194,0.2352,0.0004,56070.0,5.4271,0.0159,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,0,concat,True,194,0.2352,0.0004,56070.0,5.3869,0.1564,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,0,none,False,194,0.2352,0.0004,56070.0,5.5078,0.1517,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,0,none,True,194,0.2352,0.0004,56070.0,5.4542,0.1242,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,1,add,False,194,0.2352,0.0004,56070.0,5.3312,0.0111,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,1,add,True,194,0.2352,0.0004,56070.0,5.4612,0.1002,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,1,concat,False,194,0.2352,0.0004,56070.0,5.4353,0.1257,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,1,concat,True,194,0.2352,0.0004,56070.0,5.4952,0.1153,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,1,none,False,194,0.2352,0.0004,56070.0,4.9452,0.1702,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,1,none,True,194,0.2352,0.0004,56070.0,5.0428,0.2068,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,2,add,False,194,0.2352,0.0004,56070.0,5.0243,0.1502,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,2,add,True,194,0.2352,0.0004,56070.0,5.0826,0.0832,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,2,concat,False,194,0.2352,0.0004,56070.0,4.9498,0.1342,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,2,concat,True,194,0.2352,0.0004,56070.0,5.1971,0.0333,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,2,none,False,194,0.2352,0.0004,56070.0,4.9734,0.182,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipconcat,2,none,True,194,0.2352,0.0004,56070.0,5.1382,0.1519,0.8948,0.0015,0.8418,0.0015,0.8338,0.0034,0.8378,0.0024,0.9627,0.0003
skipsum,0,add,False,164,0.2579,0.0102,31494.0,0.6059,0.055,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,0,add,True,164,0.2579,0.0102,31494.0,4.8271,0.089,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,0,concat,False,164,0.2579,0.0102,31494.0,3.906,0.0739,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,0,concat,True,164,0.2579,0.0102,31494.0,3.8312,0.0598,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,0,none,False,164,0.2579,0.0102,31494.0,3.804,0.0222,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,0,none,True,164,0.2579,0.0102,31494.0,3.6258,0.0696,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,1,add,False,164,0.2579,0.0102,31494.0,3.7278,0.0852,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,1,add,True,164,0.2579,0.0102,31494.0,3.8457,0.0244,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,1,concat,False,164,0.2579,0.0102,31494.0,3.8202,0.0355,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,1,concat,True,164,0.2579,0.0102,31494.0,3.7757,0.0439,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,1,none,False,164,0.2579,0.0102,31494.0,3.7988,0.0152,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,1,none,True,164,0.2579,0.0102,31494.0,3.6878,0.1873,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,2,add,False,164,0.2579,0.0102,31494.0,3.671,0.0436,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,2,add,True,164,0.2579,0.0102,31494.0,3.7654,0.1412,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,2,concat,False,164,0.2579,0.0102,31494.0,3.816,0.0469,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,2,concat,True,164,0.2579,0.0102,31494.0,3.8016,0.0057,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,2,none,False,164,0.2579,0.0102,31494.0,3.8218,0.0332,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
skipsum,2,none,True,164,0.2579,0.0102,31494.0,3.7972,0.046,0.883,0.0049,0.8272,0.0067,0.8106,0.0088,0.8189,0.0077,0.9548,0.0037
stack,0,add,False,170,0.2524,0.0025,31494.0,3.6932,0.0286,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,0,add,True,170,0.2524,0.0025,31494.0,3.6774,0.0308,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,0,concat,False,170,0.2524,0.0025,31494.0,3.7538,0.0681,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,0,concat,True,170,0.2524,0.0025,31494.0,3.8216,0.058,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,0,none,False,170,0.2524,0.0025,31494.0,3.7056,0.0506,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,0,none,True,170,0.2524,0.0025,31494.0,3.772,0.017,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,1,add,False,170,0.2524,0.0025,31494.0,3.7257,0.0359,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,1,add,True,170,0.2524,0.0025,31494.0,3.737,0.018,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,1,concat,False,170,0.2524,0.0025,31494.0,3.7422,0.0158,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,1,concat,True,170,0.2524,0.0025,31494.0,3.7542,0.0587,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,1,none,False,170,0.2524,0.0025,31494.0,3.716,0.1143,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,1,none,True,170,0.2524,0.0025,31494.0,3.7138,0.0265,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,2,add,False,170,0.2524,0.0025,31494.0,3.7244,0.0071,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,2,add,True,170,0.2524,0.0025,31494.0,3.7668,0.0112,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,2,concat,False,170,0.2524,0.0025,31494.0,1.1417,0.0149,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,2,concat,True,170,0.2524,0.0025,31494.0,1.0106,0.0734,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,2,none,False,170,0.2524,0.0025,31494.0,0.9678,0.1134,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
stack,2,none,True,170,0.2524,0.0025,31494.0,1.0375,0.1098,0.8856,0.0002,0.8355,0.0,0.8081,0.0006,0.8216,0.0003,0.9563,0.0007
