stage,skip,self,final_linear,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
skipconcat,0,add,False,191,0.2332,0.0013,56070.0,5.3745,0.0404,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,0,add,True,191,0.2332,0.0013,56070.0,5.3802,0.0341,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,0,concat,False,191,0.2332,0.0013,56070.0,5.4615,0.148,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,0,concat,True,191,0.2332,0.0013,56070.0,5.369,0.0638,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,0,none,False,191,0.2332,0.0013,56070.0,5.5306,0.0643,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,0,none,True,191,0.2332,0.0013,56070.0,5.4703,0.034,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,1,add,False,191,0.2332,0.0013,56070.0,5.4809,0.0418,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,1,add,True,191,0.2332,0.0013,56070.0,5.3286,0.039,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,1,concat,False,191,0.2332,0.0013,56070.0,5.3126,0.044,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
skipconcat,1,concat,True,191,0.2332,0.0013,56070.0,5.5613,0.1325,0.8975,0.0003,0.8474,0.0021,0.8362,0.002,0.8418,0.0,0.9635,0.0005
