Model,Computation,Epochs,Hidden Channels,Learning Rate,Weight Decay,Dropout Rate,Loss,Accuracy,Precision,Recall,F1
GraphSAGE,3m 59s,498,64,0.006335601564025167,0.00042991958686145794,0.3431782470491028,0.30565235018730164,0.8665613896565337,0.8383311603650587,0.750291715285881,0.791871921182266
GraphSAGE,2m 51s,357,64,0.008625265649057131,0.00033060366355368764,0.15375268291708,0.2728717625141144,0.8653770232925385,0.8359375,0.7491248541423571,0.7901538461538462
GraphSAGE,2m 46s,347,64,0.003677811458900251,7.552083979284945e-05,0.1090625178320453,0.24290262162685394,0.8634030793525463,0.8166047087980174,0.7689614935822637,0.7920673076923078
GraphSAGE,2m 40s,335,64,0.005298986055892151,0.00041547592794897206,0.19199086895002299,0.2730174958705902,0.8641926569285432,0.8567454798331016,0.7187864644107351,0.7817258883248731
GraphSAGE,3m 60s,500,64,0.0045350631649074685,0.00042623544359182003,0.13495846416690738,0.24175074696540833,0.8709040663245163,0.7951002227171492,0.8331388564760793,0.8136752136752136
GraphSAGE,3m 60s,500,64,0.006833546848460777,0.0002157086929282466,0.38286206358121866,0.2939268946647644,0.8570864587445717,0.7796610169491526,0.8051341890315052,0.7921928817451205
GraphSAGE,3m 44s,466,64,0.002263157023713807,0.0004415392662612965,0.18944321810948425,0.26260530948638916,0.8653770232925385,0.8028169014084507,0.7981330221703618,0.8004681100058514
GraphSAGE,2m 29s,311,64,0.0082081967678168,0.00028421486579804223,0.27155181204758416,0.28752461075782776,0.8673509672325306,0.854421768707483,0.7327887981330222,0.7889447236180905
GraphSAGE,3m 59s,500,64,0.007485693892533253,0.00031190890643379826,0.2149492917796043,0.2710578143596649,0.8641926569285432,0.8202247191011236,0.7666277712952159,0.7925211097708083
GraphSAGE,3m 31s,445,64,0.007827540618901218,9.765842323450648e-05,0.189440167738663,0.2529769241809845,0.8720884326885117,0.8131609870740305,0.8074679113185531,0.810304449648712
GraphSAGE,1m 53s,313,64,0.007648694503500636,0.00043283841855076935,0.0,0.23319724202156067,0.8491906829846032,0.8751974723538705,0.646441073512252,0.7436241610738255
GraphSAGE,2m 23s,302,64,0.006849507375708473,5.279563155340399e-05,0.18774469523765802,0.2608271837234497,0.86498223450454,0.8222778473091364,0.7666277712952159,0.7934782608695653
GraphSAGE,3m 32s,449,64,0.00753038671922472,0.0004913163078042428,0.18251313263943345,0.26872798800468445,0.8637978681405448,0.8359580052493438,0.7432905484247374,0.7869054972205065
GraphSAGE,3m 10s,402,64,0.004732158204527189,0.0004962521936815865,0.10125343791474309,0.23774832487106323,0.8657718120805369,0.8259773013871374,0.764294049008168,0.7939393939393938
