Time Stamp,Model Name,Dataset,Number of Runs,Computation,Std Computation,Epoch,Number of Features,Hidden Channels,Learning Rate,Weight Decay,Dropout Rate,Criterion,Loss,Accuracy,Precision,Recall,F1,Std Loss,Std Accuracy,Std Precision,Std Recall,Std F1
2024-05-28 01:11:30,GraphSAGE LR 0.0005,chrome-run-01-without-centrality-metrics,1,7m 21s,0.0,1000,37,64,0.0005,0.0005,0.0,CrossEntropyLoss,0.1976398378610611,0.8248520710059172,0.6811337466784765,0.9015240328253223,0.7759838546922301,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:18:51,GraphSAGE LR 0.001,chrome-run-01-without-centrality-metrics,1,4m 25s,0.0,1000,37,64,0.001,0.0005,0.0,CrossEntropyLoss,0.20660263299942017,0.8347140039447731,0.7016728624535316,0.8851113716295428,0.782789009849663,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:23:16,GraphSAGE LR 0.005,chrome-run-01-without-centrality-metrics,1,7m 12s,0.0,1000,37,64,0.005,0.0005,0.0,CrossEntropyLoss,0.1560799777507782,0.8560157790927022,0.7723214285714286,0.8112543962485346,0.7913093196112064,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:30:29,GraphSAGE LR 0.01,chrome-run-01-without-centrality-metrics,1,7m 1s,0.0,1000,37,64,0.01,0.0005,0.0,CrossEntropyLoss,0.2307523638010025,0.7751479289940828,0.6050482553823311,0.9554513481828839,0.740909090909091,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:37:29,GraphSAGE LR 0.05,chrome-run-01-without-centrality-metrics,1,7m 2s,0.0,1000,37,64,0.05,0.0005,0.0,CrossEntropyLoss,0.34066328406333923,0.8039447731755424,0.8296296296296296,0.5252051582649473,0.6432160804020101,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:44:32,GraphSAGE DR 0.0,chrome-run-01-without-centrality-metrics,1,7m 3s,0.0,1000,37,64,0.005,0.0005,0.0,CrossEntropyLoss,0.12193506956100464,0.8497041420118343,0.7489451476793249,0.8323563892145369,0.7884508606329816,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:51:35,GraphSAGE DR 0.1,chrome-run-01-without-centrality-metrics,1,8m 31s,0.0,1000,37,64,0.005,0.0005,0.1,CrossEntropyLoss,0.2970631718635559,0.8516765285996055,0.7359050445103857,0.8722157092614302,0.798283261802575,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:00:07,GraphSAGE DR 0.3,chrome-run-01-without-centrality-metrics,1,8m 42s,0.0,1000,37,64,0.005,0.0005,0.3,CrossEntropyLoss,0.29385700821876526,0.8378698224852071,0.7016423357664233,0.9015240328253223,0.789122626988199,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:08:49,GraphSAGE DR 0.5,chrome-run-01-without-centrality-metrics,1,8m 34s,0.0,1000,37,64,0.005,0.0005,0.5,CrossEntropyLoss,0.3265640437602997,0.8481262327416174,0.7358870967741935,0.8558030480656507,0.7913279132791328,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:17:23,GraphSAGE DR 0.7,chrome-run-01-without-centrality-metrics,1,8m 33s,0.0,1000,37,64,0.005,0.0005,0.7,CrossEntropyLoss,0.3861840069293976,0.8047337278106509,0.63984375,0.9601406799531067,0.7679324894514769,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:25:57,GraphSAGE WD 5e-5,chrome-run-01-without-centrality-metrics,1,7m 4s,0.0,1000,37,64,0.005,5e-05,0.0,CrossEntropyLoss,0.10233916342258453,0.8453648915187377,0.750816104461371,0.8089097303634232,0.7787810383747178,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:33:01,GraphSAGE WD 1e-5,chrome-run-01-without-centrality-metrics,1,8m 41s,0.0,1000,37,64,0.005,1e-05,0.1,CrossEntropyLoss,0.1894620656967163,0.8694280078895463,0.7701863354037267,0.8722157092614302,0.8180318856514567,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:41:42,GraphSAGE WD 5e-4,chrome-run-01-without-centrality-metrics,1,8m 33s,0.0,1000,37,64,0.005,0.0005,0.3,CrossEntropyLoss,0.28678110241889954,0.8575936883629192,0.7474849094567404,0.8710433763188745,0.8045479155387113,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:50:15,GraphSAGE WD 1e-4,chrome-run-01-without-centrality-metrics,1,8m 39s,0.0,1000,37,64,0.005,0.0001,0.5,CrossEntropyLoss,0.31055864691734314,0.8268244575936884,0.676320272572402,0.9308323563892146,0.7834237789837197,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:58:55,GraphSAGE WD 5e-3,chrome-run-01-without-centrality-metrics,1,8m 35s,0.0,1000,37,64,0.005,0.005,0.7,CrossEntropyLoss,0.4216090440750122,0.7956607495069034,0.6319936958234831,0.94021101992966,0.7558906691800189,0.0,0.0,0.0,0.0,0.0
2024-06-05 17:58:14,GraphSAGE Experiment,chrome-run-01-without-centrality-metrics,1,4m 43s,0.0,505,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.27020925283432007,0.8487958941966048,0.7190388170055453,0.9078179696616102,0.8024755028365137,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:06:55,GraphSAGE Experiment,chrome-run-01-without-centrality-metrics,1,5m 8s,0.0,550,33,64,0.001,0.0005,0.2,CrossEntropyLoss,0.2894025146961212,0.8274772996446901,0.6813471502590673,0.9206534422403734,0.7831265508684863,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:14:26,GraphSAGE Experiment,chrome-run-01-without-centrality-metrics,1,5m 38s,0.0,600,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.2561590373516083,0.8495854717726017,0.7258064516129032,0.8926487747957993,0.8006279434850865,0.0,0.0,0.0,0.0,0.0
