,id,count,tracking,binary_tracker,prediction
15,assets.adobedtm.com,2962,0.7295746117488183,1,0.0
195,ynuf.aliapp.org,25,0.0,0,1.0
215,login.sina.com.cn,2,0.0,0,1.0
228,www.baidu.com,51,0.0,0,1.0
279,az725175.vo.msecnd.net,4,1.0,1,0.0
337,banners-cdn77.trafficfactory.biz,2,1.0,1,0.0
355,www.paypal.com,59,0.711864406779661,1,0.0
496,core.iprom.net,1,1.0,1,0.0
644,static.scroll.com,50,0.0,0,1.0
651,www.booking.com,1,0.0,0,1.0
672,consent.trustarc.com,658,0.1762917933130699,0,1.0
678,hulkprod.anm.co.uk,15,0.2666666666666666,0,1.0
681,consent-pref.trustarc.com,115,0.0,0,1.0
768,www.asadcdn.com,65,1.0,1,0.0
769,experience.tinypass.com,65,0.0,0,1.0
771,cdn.tinypass.com,90,0.0,0,1.0
810,cmp.osano.com,93,0.0,0,1.0
824,apps.bazaarvoice.com,58,0.0,0,1.0
841,cnstrc.com,4,0.0,0,1.0
847,edge.curalate.com,46,1.0,1,0.0
881,auth.services.adobe.com,1,0.0,0,1.0
950,whitesaas.com,3,0.0,0,1.0
986,video.ktkjmp.com,34,1.0,1,0.0
988,stats.postgen.com,1,1.0,1,0.0
993,consentcdn.cookiebot.com,143,0.0,0,1.0
1040,assets.bounceexchange.com,254,1.0,1,0.0
1098,prebid.the-ozone-project.com,9,1.0,1,0.0
1125,xhamster.com,2,1.0,1,0.0
1183,polyfill.io,135,0.0,0,1.0
1200,js.usemessages.com,67,0.0,0,1.0
1201,js.hubspotfeedback.com,7,0.0,0,1.0
1203,js.hs-banner.com,372,0.0,0,1.0
1259,cdn.jwplayer.com,90,0.0,0,1.0
1285,geo.privacymanager.io,222,0.0,0,1.0
1318,b92.yahoo.co.jp,73,0.2465753424657534,0,1.0
1319,b90.yahoo.co.jp,6,0.0,0,1.0
1342,aeu.alicdn.com,12,0.0,0,1.0
1370,events.launchdarkly.com,123,1.0,1,0.0
1457,cdn.marphezis.com,37,1.0,1,0.0
1466,api.intentiq.com,11,0.0,0,1.0
1467,map.brightcove.com,3,0.0,0,1.0
1487,b.wal.co,6,0.1666666666666666,0,1.0
1506,news.qhstatic.com,6,0.0,0,1.0
1512,logo.samandehi.ir,9,0.0,0,1.0
1525,f-log-test.grammarly.io,2,1.0,1,0.0
1560,d3e54v103j8qbb.cloudfront.net,72,0.0,0,1.0
