,id,count,tracking,binary_tracker,prediction
2,www.google.com,11004,0.7393675027262814,1,0
6,stats.g.doubleclick.net,4795,0.016266944734098,0,1
8,connect.facebook.net,5213,0.3449069633608287,0,1
14,region1.analytics.google.com,1043,0.0,0,1
15,cdn.bizible.com,237,0.0,0,1
18,cdn.bizibly.com,50,0.0,0,1
24,dev.visualwebsiteoptimizer.com,403,0.2531017369727047,0,1
25,bam.nr-data.net,1731,0.0,0,1
26,px.ads.linkedin.com,755,0.0013245033112582,0,1
31,r1.visualwebsiteoptimizer.com,2,0.0,0,1
33,cdn.jsdelivr.net,1144,0.0428321678321678,0,1
34,cdn.polyfill.io,80,0.0,0,1
36,geolocation.onetrust.com,1030,0.0,0,1
43,api.company-target.com,98,0.0,0,1
50,twin-iq.kickfire.com,9,0.0,0,1
51,segments.company-target.com,45,0.0,0,1
53,c0.avaamo.com,2,0.0,0,1
57,9202072.fls.doubleclick.net,4,0.0,0,1
58,adservice.google.com,2268,1.0,1,0
59,adservice.google.de,2060,1.0,1,0
60,metrics.api.drift.com,666,1.0,1,0
65,targeting.api.drift.com,328,0.9695121951219512,1,0
69,cdn.segment.com,849,0.1531213191990577,0,1
71,c.dcdn.es,1,1.0,1,0
73,js.appboycdn.com,30,0.0,0,1
75,gum.criteo.com,964,0.0,0,1
78,sslwidget.criteo.com,28,0.0,0,1
81,prg.smartadserver.com,224,0.0,0,1
82,shb.richaudience.com,28,0.0,0,1
91,consent.cookiebot.com,243,0.0,0,1
94,js.hsforms.net,104,0.0,0,1
96,74056.tctm.co,1,0.0,0,1
98,www.googleadservices.com,391,1.0,1,0
99,cdn.acru.io,1,0.0,0,1
102,sync.richaudience.com,18,0.0,0,1
104,js.hs-banner.com,339,0.0,0,1
106,js.usemessages.com,63,0.0,0,1
112,van.najva.com,47,0.0,0,1
120,static.solarwinds.com,3,0.0,0,1
121,js.adsrvr.org,241,0.0,0,1
122,script.crazyegg.com,820,0.0,0,1
127,audience-scripts.yektanet.com,8,0.0,0,1
128,ua.yektanet.com,76,0.0,0,1
129,audience.yektanet.com,40,0.0,0,1
130,4250881.fls.doubleclick.net,2,0.0,0,1
133,ads.nextdoor.com,7,1.0,1,0
134,flask.nextdoor.com,7,0.0,0,1
135,solarwindsworldwidellc.demdex.net,4,1.0,1,0
137,cdn.trackjs.com,5,0.2,0,1
143,insight.adsrvr.org,440,0.0,0,1
150,zn23t9amtoapybpji-chopdigital.siteintercept.qualtrics.com,1,0.0,0,1
151,siteintercept.qualtrics.com,626,0.0,0,1
152,api.segment.io,292,0.0,0,1
156,ajax.googleapis.com,921,0.0,0,1
161,browser.sentry-cdn.com,42,0.0,0,1
166,j.6sc.co,77,0.0,0,1
168,static.doubleclick.net,374,0.0080213903743315,0,1
176,d.adroll.com,220,0.0,0,1
180,widget.trustpilot.com,118,0.0,0,1
182,cdn.userway.org,74,0.0,0,1
188,consent.cookiebot.eu,6,0.0,0,1
190,static.hotjar.com,569,0.0,0,1
197,vc.hotjar.io,136,0.0,0,1
199,in.hotjar.com,247,0.0,0,1
205,rules.quantcount.com,456,0.0,0,1
207,pixel.quantserve.com,232,1.0,1,0
210,rtbcdn.andbeyond.media,12,0.0833333333333333,0,1
216,sb.scorecardresearch.com,1434,0.4086471408647141,0,1
219,clientcdn.pushengage.com,6,0.0,0,1
221,global.cloud.netacuity.com,10,0.0,0,1
225,rtbpass-us.andbeyond.media,8,0.0,0,1
226,p.adlooxtracking.com,11,0.0909090909090909,0,1
227,c2shb.ssp.yahoo.com,565,1.0,1,0
230,hbopenbid.pubmatic.com,396,0.0,0,1
231,imprammp.taboola.com,19,0.0,0,1
232,am-match.taboola.com,37,0.0,0,1
234,match.adsrvr.org,462,0.0,0,1
235,id.crwdcntrl.net,91,1.0,1,0
237,ag.gbc.criteo.com,111,0.0,0,1
247,telegraphindia.pushengage.com,1,0.0,0,1
249,t.pubmatic.com,70,0.0,0,1
253,r.casalemedia.com,170,1.0,1,0
254,hal9000.redintelligence.net,76,0.0,0,1
255,cdn.indexww.com,88,1.0,1,0
256,hal900022.redintelligence.net,4,0.0,0,1
257,hal90002.redintelligence.net,6,0.0,0,1
258,hal900023.redintelligence.net,6,0.0,0,1
259,www.awin1.com,46,0.0,0,1
260,w.usabilla.com,44,0.0,0,1
261,d6tizftlrpuof.cloudfront.net,23,0.0,0,1
266,dnacdn.net,415,0.0,0,1
267,csm.nl.eu.criteo.net,277,0.0,0,1
268,r2.visualwebsiteoptimizer.com,2,0.0,0,1
272,jsc.mgid.com,60,0.0,0,1
282,code.etracker.com,5,0.0,0,1
283,www.etracker.de,6,0.0,0,1
285,partner.googleadservices.com,256,0.0,0,1
287,immediate.grapeshot.co.uk,1,0.0,0,1
295,www.accuweather.com,3,0.0,0,1
296,cdn.blueconic.net,19,0.0,0,1
297,cdn.jwplayer.com,127,0.0,0,1
300,secure.polldaddy.com,3,0.0,0,1
304,yhb.p.otm-r.com,9,0.0,0,1
305,exchange.buzzoola.com,18,0.0,0,1
306,ssp.bidvol.com,8,0.0,0,1
307,ssp-rtb.sape.ru,4,0.0,0,1
310,px.adhigh.net,49,0.3469387755102041,0,1
312,b2cdn.automatad.com,19,0.0,0,1
313,ads.adfox.ru,168,0.0,0,1
314,widgets.outbrain.com,157,0.0,0,1
319,widget-pixels.outbrain.com,58,1.0,1,0
